Wall time,Step,Value
1613067438.94252,0,-0.0004814612620975822
1613067439.01003,1,-0.0014864893164485693
1613067439.075671,2,-0.00311438855715096
1613067439.147921,3,-0.004232785198837519
1613067439.241591,4,-0.0051797195337712765
1613067439.342768,5,-0.00825206097215414
1613067439.4487,6,-0.007969360798597336
1613067439.572287,7,-0.013362646102905273
1613067439.67738,8,-0.012713199481368065
1613067439.797847,9,-0.011338254436850548
1613067439.876886,10,-0.01678691804409027
1613067439.988519,11,-0.018316883593797684
1613067440.103019,12,-0.01967156119644642
1613067440.178254,13,-0.04253189638257027
1613067440.296484,14,-0.06284913420677185
1613067440.415265,15,-0.07697904855012894
1613067440.493981,16,-0.12084735184907913
1613067440.625057,17,-0.09927360713481903
1613067440.69987,18,-0.1496400684118271
1613067440.831191,19,-0.158814936876297
1613067440.908606,20,-0.18801279366016388
1613067441.039988,21,-0.21265780925750732
1613067441.120854,22,-0.2442256212234497
1613067441.201362,23,-0.2569361925125122
1613067441.35693,24,-0.2961718440055847
1613067441.433352,25,-0.20600515604019165
1613067441.578893,26,-0.24799638986587524
1613067441.697155,27,-0.24197590351104736
1613067441.771606,28,-0.30367377400398254
1613067441.848652,29,-0.34528353810310364
1613067441.92722,30,-0.33772507309913635
1613067442.077973,31,-0.2965661287307739
1613067442.185474,32,-0.2931538224220276
1613067442.26283,33,-0.3489587903022766
1613067442.343507,34,-0.3972850441932678
1613067442.411784,35,-0.399305522441864
1613067442.574355,36,-0.2721090614795685
1613067442.652049,37,-0.2755727171897888
1613067442.787207,38,-0.3415636420249939
1613067442.849833,39,-0.36715567111968994
1613067442.911537,40,-0.39104798436164856
1613067442.969886,41,-0.351044625043869
1613067443.126357,42,-0.37886178493499756
1613067443.242913,43,-0.34448692202568054
1613067443.319604,44,-0.28783658146858215
1613067443.397514,45,-0.2974995970726013
1613067443.47413,46,-0.29873552918434143
1613067443.548362,47,-0.3256312310695648
1613067443.736124,48,-0.3483709394931793
1613067443.839093,49,-0.3909569978713989
1613067443.898758,50,-0.3674120008945465
1613067443.956884,51,-0.2858676016330719
1613067444.019115,52,-0.33615708351135254
1613067444.078623,53,-0.3700481057167053
1613067444.270117,54,-0.3853134214878082
1613067444.353085,55,-0.38356879353523254
1613067444.407445,56,-0.38454681634902954
1613067444.46068,57,-0.3513847589492798
1613067444.515492,58,-0.3772762715816498
1613067444.568725,59,-0.3739055395126343
1613067444.778468,60,-0.4299987852573395
1613067444.844478,61,-0.40653160214424133
1613067444.898846,62,-0.40215039253234863
1613067444.952999,63,-0.42714858055114746
1613067445.008136,64,-0.3998657166957855
1613067445.062694,65,-0.4431062340736389
1613067445.288883,66,-0.43450668454170227
1613067445.348951,67,-0.3947282135486603
1613067445.401093,68,-0.39476287364959717
1613067445.452769,69,-0.5088790655136108
1613067445.506167,70,-0.41413047909736633
1613067445.559212,71,-0.3953874111175537
1613067445.791064,72,-0.37086382508277893
1613067445.850658,73,-0.3947214186191559
1613067445.905061,74,-0.4725356698036194
1613067445.959914,75,-0.30586767196655273
1613067446.017935,76,-0.35592859983444214
1613067446.230377,77,-0.3288198411464691
1613067446.322615,78,-0.38467293977737427
1613067446.405183,79,-0.4019772708415985
1613067446.484998,80,-0.3447592258453369
1613067446.573325,81,-0.34426993131637573
1613067446.637219,82,-0.41359564661979675
1613067446.858847,83,-0.4571433663368225
1613067446.936038,84,-0.43242835998535156
1613067447.028514,85,-0.44262486696243286
1613067447.116979,86,-0.40527108311653137
1613067447.192025,87,-0.39424800872802734
1613067447.274672,88,-0.3937218189239502
1613067447.476012,89,-0.45732632279396057
1613067447.555871,90,-0.35677260160446167
1613067447.640901,91,-0.49628764390945435
1613067447.720183,92,-0.3295849561691284
1613067447.799411,93,-0.3067224621772766
1613067448.014399,94,-0.3716803789138794
1613067448.095071,95,-0.3842993974685669
1613067448.157392,96,-0.34751880168914795
1613067448.214781,97,-0.2355916053056717
1613067448.271118,98,-0.2954064607620239
1613067448.328468,99,-0.32117095589637756
