Wall time,Step,Value
1613067465.309928,0,-9.463074820814654e-05
1613067465.374663,1,-0.0003739465319085866
1613067465.441007,2,-0.0009056306444108486
1613067465.508734,3,-0.0020509371533989906
1613067465.584732,4,-0.002438734984025359
1613067465.680748,5,-0.0033614805433899164
1613067465.78653,6,-0.005536351352930069
1613067465.911573,7,-0.006313443649560213
1613067466.018441,8,-0.007159849628806114
1613067466.147007,9,-0.007662119343876839
1613067466.235303,10,-0.008167817257344723
1613067466.34659,11,-0.009364812634885311
1613067466.45986,12,-0.015038964338600636
1613067466.544954,13,-0.0207009669393301
1613067466.657185,14,-0.029587816447019577
1613067466.772438,15,-0.029813632369041443
1613067466.840657,16,-0.042557574808597565
1613067466.968933,17,-0.03274869546294212
1613067467.056993,18,-0.05110746994614601
1613067467.179715,19,-0.07736214250326157
1613067467.261739,20,-0.08633333444595337
1613067467.382513,21,-0.08806638419628143
1613067467.457228,22,-0.1262882947921753
1613067467.585313,23,-0.135830819606781
1613067467.668482,24,-0.1663455069065094
1613067467.739577,25,-0.15771888196468353
1613067467.874899,26,-0.16411401331424713
1613067467.948662,27,-0.19086232781410217
1613067468.020203,28,-0.21002604067325592
1613067468.089764,29,-0.25003641843795776
1613067468.260951,30,-0.2774522006511688
1613067468.373693,31,-0.25395604968070984
1613067468.509505,32,-0.23103375732898712
1613067468.597774,33,-0.2784934341907501
1613067468.681892,34,-0.2880821228027344
1613067468.76196,35,-0.31124934554100037
1613067468.906057,36,-0.2320273518562317
1613067468.987019,37,-0.22229690849781036
1613067469.108938,38,-0.24675674736499786
1613067469.1919,39,-0.32353392243385315
1613067469.275537,40,-0.33543917536735535
1613067469.35961,41,-0.30954304337501526
1613067469.509171,42,-0.30810701847076416
1613067469.626551,43,-0.336782306432724
1613067469.690806,44,-0.25129592418670654
1613067469.746636,45,-0.21280084550380707
1613067469.803508,46,-0.26621386408805847
1613067469.860979,47,-0.28245508670806885
1613067470.031683,48,-0.34492576122283936
1613067470.13142,49,-0.3395909368991852
1613067470.203513,50,-0.30495867133140564
1613067470.271047,51,-0.3119798004627228
1613067470.34243,52,-0.3390354812145233
1613067470.412379,53,-0.3588270843029022
1613067470.48223,54,-0.386921763420105
1613067470.671089,55,-0.3664085268974304
1613067470.731511,56,-0.3547652065753937
1613067470.793334,57,-0.4210749566555023
1613067470.854406,58,-0.34291160106658936
1613067470.915076,59,-0.3974788784980774
1613067471.088942,60,-0.3587314486503601
1613067471.166765,61,-0.3878604769706726
1613067471.245225,62,-0.4175727069377899
1613067471.32393,63,-0.4372895061969757
1613067471.400507,64,-0.3278184235095978
1613067471.475607,65,-0.40162456035614014
1613067471.65593,66,-0.4442393183708191
1613067471.716331,67,-0.4253087639808655
1613067471.773548,68,-0.45603302121162415
1613067471.830776,69,-0.45334017276763916
1613067471.889222,70,-0.3940845727920532
1613067471.949852,71,-0.40854206681251526
1613067472.136616,72,-0.4885723888874054
1613067472.199282,73,-0.3174358010292053
1613067472.26788,74,-0.31419637799263
1613067472.340275,75,-0.27936121821403503
1613067472.410571,76,-0.4421115517616272
1613067472.610905,77,-0.3658069968223572
1613067472.688583,78,-0.3979480266571045
1613067472.76626,79,-0.3545812666416168
1613067472.843722,80,-0.331914484500885
1613067472.922334,81,-0.32950007915496826
1613067472.997441,82,-0.5029711723327637
1613067473.180759,83,-0.46682319045066833
1613067473.245669,84,-0.42584800720214844
1613067473.310307,85,-0.4313385486602783
1613067473.374879,86,-0.38264667987823486
1613067473.4385,87,-0.3986888825893402
1613067473.504711,88,-0.42709124088287354
1613067473.692701,89,-0.3789498805999756
1613067473.753242,90,-0.4187549352645874
1613067473.808878,91,-0.42293375730514526
1613067473.865448,92,-0.3096602261066437
1613067473.921354,93,-0.37148430943489075
1613067474.11613,94,-0.2932542860507965
1613067474.183422,95,-0.41745105385780334
1613067474.246546,96,-0.4234350919723511
1613067474.310946,97,-0.3167389929294586
1613067474.373208,98,-0.2797364294528961
1613067474.434096,99,-0.3228711783885956
