Wall time,Step,Value
1613067291.094003,0,-0.012051167897880077
1613067291.158377,1,-0.04586860537528992
1613067291.224397,2,-0.13746272027492523
1613067291.294929,3,-0.21209806203842163
1613067291.367394,4,-0.27838364243507385
1613067291.478346,5,-0.35128429532051086
1613067291.57839,6,-0.34291890263557434
1613067291.680135,7,-0.3382112979888916
1613067291.804085,8,-0.23978930711746216
1613067291.918281,9,-0.39227497577667236
1613067291.996431,10,-0.26971691846847534
1613067292.115892,11,-0.28889334201812744
1613067292.238011,12,-0.28781676292419434
1613067292.330116,13,-0.35648736357688904
1613067292.450249,14,-0.3700098395347595
1613067292.5619,15,-0.3319041132926941
1613067292.672345,16,-0.3822275996208191
1613067292.755018,17,-0.3108399510383606
1613067292.891172,18,-0.39621248841285706
1613067292.984918,19,-0.4680635929107666
1613067293.113931,20,-0.49957630038261414
1613067293.24554,21,-0.41920092701911926
1613067293.323794,22,-0.3212296664714813
1613067293.402094,23,-0.43784981966018677
1613067293.549495,24,-0.39561396837234497
1613067293.630547,25,-0.35940465331077576
1613067293.767517,26,-0.37610527873039246
1613067293.840451,27,-0.42689865827560425
1613067293.914748,28,-0.37765151262283325
1613067293.98551,29,-0.5602315664291382
1613067294.146744,30,-0.4343496263027191
1613067294.219034,31,-0.4935411512851715
1613067294.354517,32,-0.4558892548084259
1613067294.422395,33,-0.4204826056957245
1613067294.490347,34,-0.4913572072982788
1613067294.561122,35,-0.5010643601417542
1613067294.735566,36,-0.3115151524543762
1613067294.813312,37,-0.29165107011795044
1613067294.951813,38,-0.36745089292526245
1613067295.027677,39,-0.44072332978248596
1613067295.103577,40,-0.5539597868919373
1613067295.177566,41,-0.46943923830986023
1613067295.348893,42,-0.42172256112098694
1613067295.46245,43,-0.48142436146736145
1613067295.529,44,-0.37434905767440796
1613067295.592781,45,-0.2614438533782959
1613067295.656637,46,-0.31867995858192444
1613067295.719969,47,-0.3662421703338623
1613067295.908367,48,-0.36161884665489197
1613067296.010496,49,-0.43533024191856384
1613067296.083863,50,-0.46513351798057556
1613067296.156557,51,-0.4656684398651123
1613067296.229602,52,-0.40131449699401855
1613067296.302259,53,-0.4736655354499817
1613067296.375545,54,-0.45815712213516235
1613067296.58105,55,-0.4754978120326996
1613067296.645949,56,-0.4633573889732361
1613067296.712546,57,-0.46551838517189026
1613067296.781067,58,-0.4243711829185486
1613067296.846731,59,-0.4642113149166107
1613067297.059032,60,-0.4142562448978424
1613067297.123793,61,-0.44402748346328735
1613067297.176301,62,-0.44673970341682434
1613067297.23119,63,-0.46515440940856934
1613067297.284682,64,-0.5013236999511719
1613067297.33996,65,-0.523719310760498
1613067297.562753,66,-0.5387465953826904
1613067297.619811,67,-0.5303296446800232
1613067297.674082,68,-0.4689123034477234
1613067297.727063,69,-0.462808221578598
1613067297.781522,70,-0.4690115749835968
1613067297.83393,71,-0.3959067463874817
1613067298.047477,72,-0.5402944684028625
1613067298.100863,73,-0.4188116788864136
1613067298.15309,74,-0.418860524892807
1613067298.206537,75,-0.3642411530017853
1613067298.260028,76,-0.4648027718067169
1613067298.472236,77,-0.3848993182182312
1613067298.542472,78,-0.45831298828125
1613067298.609504,79,-0.41969379782676697
1613067298.677363,80,-0.43394073843955994
1613067298.742853,81,-0.44730690121650696
1613067298.808133,82,-0.5641233921051025
1613067299.020701,83,-0.5598455667495728
1613067299.078723,84,-0.5314454436302185
1613067299.13493,85,-0.5001490116119385
1613067299.192655,86,-0.39290839433670044
1613067299.250152,87,-0.48794519901275635
1613067299.308581,88,-0.4315415620803833
1613067299.526309,89,-0.5038666725158691
1613067299.582032,90,-0.47621309757232666
1613067299.634839,91,-0.436339408159256
1613067299.688362,92,-0.3730975389480591
1613067299.742798,93,-0.35840746760368347
1613067299.957055,94,-0.40417033433914185
1613067300.0205,95,-0.3760068118572235
1613067300.074827,96,-0.5013579726219177
1613067300.135019,97,-0.3402143120765686
1613067300.192071,98,-0.24795131385326385
1613067300.247766,99,-0.358330637216568
