Wall time,Step,Value
1613067539.956365,0,-0.0018912351224571466
1613067540.007942,1,-0.0006872800877317786
1613067540.064809,2,-0.0011165572796016932
1613067540.120894,3,-0.0006352096679620445
1613067540.175665,4,-0.0010513528250157833
1613067540.228507,5,-0.0015613514697179198
1613067540.281062,6,-0.0021581638138741255
1613067540.334023,7,-0.002466163830831647
1613067540.388063,8,-0.0024902927689254284
1613067540.440752,9,-0.002638662699609995
1613067540.493569,10,-0.002252414356917143
1613067540.546621,11,-0.0022856686264276505
1613067540.59973,12,-0.0021419047843664885
1613067540.652638,13,-0.0010810685344040394
1613067540.709843,14,-0.0013910334091633558
1613067540.766246,15,-0.0038297967985272408
1613067540.822433,16,-0.007032132241874933
1613067540.878435,17,-0.007726533338427544
1613067540.9319,18,-0.009796848520636559
1613067540.985426,19,-0.003374580992385745
1613067541.03773,20,-0.0008227642392739654
1613067541.091776,21,-0.0023620077408850193
1613067541.144306,22,-0.007880446501076221
1613067541.197985,23,-0.007588920183479786
1613067541.250887,24,-0.009863507002592087
1613067541.303848,25,-0.007773080375045538
1613067541.357882,26,-0.009152170270681381
1613067541.411485,27,-0.011342626065015793
1613067541.463059,28,-0.003078760812059045
1613067541.514648,29,-0.004374336916953325
1613067541.567142,30,-0.00621952535584569
1613067541.618667,31,-0.006977463141083717
1613067541.670807,32,-0.007292661815881729
1613067541.730045,33,-0.006429925560951233
1613067541.78949,34,-0.013974776491522789
1613067541.846457,35,-0.01342847105115652
1613067541.904394,36,-0.017618544399738312
1613067541.963051,37,-0.015520528890192509
1613067542.022053,38,-0.015921585261821747
1613067542.082676,39,-0.01833123154938221
1613067542.140631,40,-0.01829371228814125
1613067542.199531,41,-0.014937729574739933
1613067542.257657,42,-0.014870374463498592
1613067542.316041,43,-0.02345958538353443
1613067542.377254,44,-0.027493791654706
1613067542.437793,45,-0.014782436192035675
1613067542.495817,46,-0.019564393907785416
1613067542.553815,47,-0.0308348648250103
1613067542.610189,48,-0.02773802913725376
1613067542.665461,49,-0.02737908624112606
1613067542.720111,50,-0.009400084614753723
1613067542.774665,51,-0.02037476748228073
1613067542.8299,52,-0.028558123856782913
1613067542.886742,53,-0.039093248546123505
1613067542.941613,54,-0.03882034868001938
1613067542.999364,55,-0.03735636547207832
1613067543.055446,56,-0.03699589893221855
1613067543.114259,57,-0.03699152544140816
1613067543.169385,58,-0.029628291726112366
1613067543.222597,59,-0.04234718903899193
1613067543.276813,60,-0.06250906735658646
1613067543.334657,61,-0.07460858672857285
1613067543.390606,62,-0.050486017018556595
1613067543.446055,63,-0.06386281549930573
1613067543.501654,64,-0.047532059252262115
1613067543.558595,65,-0.018012600019574165
1613067543.614702,66,-0.0482376292347908
1613067543.671928,67,-0.04258248955011368
1613067543.731218,68,-0.033932995051145554
1613067543.786058,69,-0.03936539962887764
1613067543.841377,70,-0.03569299355149269
1613067543.895704,71,-0.036975324153900146
1613067543.951421,72,-0.048229869455099106
1613067544.008507,73,-0.04969038814306259
1613067544.064775,74,-0.06334222108125687
1613067544.1219,75,-0.046698227524757385
1613067544.175232,76,-0.04242774471640587
1613067544.228591,77,-0.04776341840624809
1613067544.283075,78,-0.03959760069847107
1613067544.337195,79,-0.05935299023985863
1613067544.392924,80,-0.05626408010721207
1613067544.447253,81,-0.03419525548815727
1613067544.511518,82,-0.04636134207248688
1613067544.577969,83,-0.03446821868419647
1613067544.643418,84,-0.0372430682182312
1613067544.704194,85,-0.04721473157405853
1613067544.758855,86,-0.043804384768009186
1613067544.812995,87,-0.04859583079814911
1613067544.867066,88,-0.06428792327642441
1613067544.925164,89,-0.047985125333070755
1613067544.982977,90,-0.05538558587431908
1613067545.044025,91,-0.07138490676879883
1613067545.103369,92,-0.06520126014947891
1613067545.159496,93,-0.058201275765895844
1613067545.216742,94,-0.058857403695583344
1613067545.273247,95,-0.04717240855097771
1613067545.330531,96,-0.06446042656898499
1613067545.392771,97,-0.05038857087492943
1613067545.452079,98,-0.06351590901613235
1613067545.513109,99,-0.07249129563570023
