Wall time,Step,Value
1613068342.835972,0,0.0006837064865976572
1613068342.887056,1,0.0008840278605930507
1613068342.938799,2,-0.00020442857930902392
1613068342.990893,3,-0.0015640747733414173
1613068343.052896,4,-0.001585400546900928
1613068343.124579,5,-0.0032032758463174105
1613068343.186912,6,-0.004509760532528162
1613068343.250138,7,-0.006394015625119209
1613068343.316578,8,-0.007723537273705006
1613068343.38788,9,-0.010241080075502396
1613068343.451198,10,-0.009309794753789902
1613068343.512951,11,-0.011485346592962742
1613068343.575664,12,-0.020736176520586014
1613068343.642309,13,-0.026215368881821632
1613068343.708324,14,-0.05250588431954384
1613068343.786519,15,-0.0540437325835228
1613068343.853266,16,-0.11261347681283951
1613068343.920714,17,-0.12613864243030548
1613068343.988269,18,-0.15458664298057556
1613068344.059236,19,-0.1868835687637329
1613068344.131892,20,-0.21682678163051605
1613068344.206412,21,-0.2169237732887268
1613068344.278863,22,-0.21816478669643402
1613068344.350967,23,-0.23899514973163605
1613068344.422397,24,-0.2938171923160553
1613068344.494714,25,-0.2570509910583496
1613068344.569236,26,-0.254312664270401
1613068344.642512,27,-0.3103853166103363
1613068344.714574,28,-0.29679641127586365
1613068344.795545,29,-0.3249363303184509
1613068344.868788,30,-0.3206453323364258
1613068344.939934,31,-0.28976476192474365
1613068345.011187,32,-0.3521161675453186
1613068345.087789,33,-0.3470419645309448
1613068345.159007,34,-0.339650422334671
1613068345.233362,35,-0.34469836950302124
1613068345.307423,36,-0.22843079268932343
1613068345.373431,37,-0.2559535503387451
1613068345.434838,38,-0.27610576152801514
1613068345.500915,39,-0.324087530374527
1613068345.570359,40,-0.3223695755004883
1613068345.639733,41,-0.3398766815662384
1613068345.70948,42,-0.34116610884666443
1613068345.782694,43,-0.3043404519557953
1613068345.852858,44,-0.3236406445503235
1613068345.926762,45,-0.3169616162776947
1613068345.997146,46,-0.26295843720436096
1613068346.071222,47,-0.32493144273757935
1613068346.143942,48,-0.39780476689338684
1613068346.216671,49,-0.3889319896697998
1613068346.29025,50,-0.302455872297287
1613068346.361834,51,-0.3675636053085327
1613068346.434586,52,-0.33386707305908203
1613068346.508864,53,-0.3498575687408447
1613068346.580024,54,-0.3515709936618805
1613068346.651123,55,-0.355484277009964
1613068346.726789,56,-0.410243421792984
1613068346.802531,57,-0.39094078540802
1613068346.876511,58,-0.37117496132850647
1613068346.948065,59,-0.41324183344841003
1613068347.021911,60,-0.3878765404224396
1613068347.094156,61,-0.4240065813064575
1613068347.165488,62,-0.35261499881744385
1613068347.237395,63,-0.39282843470573425
1613068347.311151,64,-0.41564708948135376
1613068347.375398,65,-0.3859249949455261
1613068347.44396,66,-0.39042457938194275
1613068347.51218,67,-0.4235575199127197
1613068347.5751,68,-0.3978623151779175
1613068347.641497,69,-0.40133902430534363
1613068347.702862,70,-0.4680178761482239
1613068347.770558,71,-0.295884370803833
1613068347.841961,72,-0.34653952717781067
1613068347.911762,73,-0.3778526186943054
1613068347.980691,74,-0.32852303981781006
1613068348.053784,75,-0.354114830493927
1613068348.126668,76,-0.33582279086112976
1613068348.193483,77,-0.32685887813568115
1613068348.257736,78,-0.324666827917099
1613068348.320741,79,-0.37248170375823975
1613068348.388212,80,-0.2668426036834717
1613068348.450517,81,-0.3343331515789032
1613068348.50679,82,-0.45657268166542053
1613068348.576564,83,-0.33897864818573
1613068348.645743,84,-0.4274809658527374
1613068348.71648,85,-0.3855593502521515
1613068348.790623,86,-0.43388351798057556
1613068348.862199,87,-0.3839743733406067
1613068348.936822,88,-0.38876816630363464
1613068349.014234,89,-0.3689773678779602
1613068349.087933,90,-0.46741223335266113
1613068349.160905,91,-0.38652676343917847
1613068349.235224,92,-0.3574680685997009
1613068349.310322,93,-0.2904943525791168
1613068349.38261,94,-0.3843894302845001
1613068349.4563,95,-0.4348599314689636
1613068349.527877,96,-0.4274207055568695
1613068349.602972,97,-0.22108924388885498
1613068349.669625,98,-0.2562621235847473
1613068349.720637,99,-0.36671993136405945
