Wall time,Step,Value
1613068251.473865,0,0.002371422713622451
1613068251.525117,1,0.0002611220988910645
1613068251.57871,2,-0.0022504390217363834
1613068251.632829,3,-0.008140839636325836
1613068251.697598,4,-0.0423085018992424
1613068251.767693,5,-0.2772831618785858
1613068251.835607,6,-0.2809264659881592
1613068251.901416,7,-0.3895537853240967
1613068251.967752,8,-0.2717072367668152
1613068252.039302,9,-0.226455420255661
1613068252.112772,10,-0.31104162335395813
1613068252.196418,11,-0.281648188829422
1613068252.267094,12,-0.3173729181289673
1613068252.3428,13,-0.38284480571746826
1613068252.416025,14,-0.39438626170158386
1613068252.485589,15,-0.279188334941864
1613068252.553317,16,-0.3399673402309418
1613068252.624411,17,-0.3727869391441345
1613068252.696098,18,-0.37350255250930786
1613068252.772668,19,-0.4519197344779968
1613068252.839978,20,-0.4937703609466553
1613068252.902188,21,-0.539201021194458
1613068252.960333,22,-0.38510406017303467
1613068253.027034,23,-0.43363961577415466
1613068253.10039,24,-0.3853900134563446
1613068253.174592,25,-0.3326215445995331
1613068253.249501,26,-0.36550894379615784
1613068253.325303,27,-0.5064917206764221
1613068253.403154,28,-0.5015143156051636
1613068253.480769,29,-0.48210838437080383
1613068253.558479,30,-0.5148921608924866
1613068253.633447,31,-0.4831492304801941
1613068253.712396,32,-0.5160162448883057
1613068253.786567,33,-0.41698580980300903
1613068253.864952,34,-0.4859042763710022
1613068253.948086,35,-0.4164857566356659
1613068254.023514,36,-0.3391030430793762
1613068254.100008,37,-0.4381527304649353
1613068254.174896,38,-0.4252103567123413
1613068254.249793,39,-0.4691057503223419
1613068254.32404,40,-0.42673641443252563
1613068254.400297,41,-0.4932461082935333
1613068254.47698,42,-0.42531532049179077
1613068254.552474,43,-0.4012555181980133
1613068254.630142,44,-0.3662450313568115
1613068254.707205,45,-0.3065134286880493
1613068254.782006,46,-0.37687674164772034
1613068254.848495,47,-0.3683863580226898
1613068254.916522,48,-0.4259127378463745
1613068254.990102,49,-0.42441248893737793
1613068255.063712,50,-0.519007682800293
1613068255.137232,51,-0.4587392807006836
1613068255.213366,52,-0.39927682280540466
1613068255.288794,53,-0.40320923924446106
1613068255.362496,54,-0.42924973368644714
1613068255.439278,55,-0.4366597831249237
1613068255.514576,56,-0.49260249733924866
1613068255.589348,57,-0.5149086117744446
1613068255.664123,58,-0.5209392309188843
1613068255.745763,59,-0.4548414349555969
1613068255.815594,60,-0.42205360531806946
1613068255.882199,61,-0.4534376263618469
1613068255.948444,62,-0.47492384910583496
1613068256.01489,63,-0.549714207649231
1613068256.09101,64,-0.5410363078117371
1613068256.166279,65,-0.45757824182510376
1613068256.25041,66,-0.5641222596168518
1613068256.326832,67,-0.5010896325111389
1613068256.402802,68,-0.4870116412639618
1613068256.478525,69,-0.5254338979721069
1613068256.557018,70,-0.44939711689949036
1613068256.636066,71,-0.43038371205329895
1613068256.720183,72,-0.4905588924884796
1613068256.78293,73,-0.3583813011646271
1613068256.840264,74,-0.4621422588825226
1613068256.910578,75,-0.3992694616317749
1613068256.979264,76,-0.3680815100669861
1613068257.045643,77,-0.46262240409851074
1613068257.115174,78,-0.437470406293869
1613068257.183061,79,-0.4434373378753662
1613068257.256604,80,-0.386474609375
1613068257.322939,81,-0.3840874433517456
1613068257.398339,82,-0.5105627775192261
1613068257.469718,83,-0.5127905011177063
1613068257.538152,84,-0.561612606048584
1613068257.610966,85,-0.4637802243232727
1613068257.678528,86,-0.4958663284778595
1613068257.758001,87,-0.531155526638031
1613068257.833375,88,-0.48925280570983887
1613068257.906762,89,-0.5067472457885742
1613068257.976375,90,-0.5374983549118042
1613068258.040687,91,-0.5050991773605347
1613068258.104969,92,-0.3477233648300171
1613068258.174901,93,-0.461183100938797
1613068258.246684,94,-0.4407822787761688
1613068258.321902,95,-0.49595290422439575
1613068258.397208,96,-0.4401223063468933
1613068258.47038,97,-0.28905802965164185
1613068258.54238,98,-0.22475247085094452
1613068258.620006,99,-0.303824245929718
