Wall time,Step,Value
1613068233.07619,0,-0.0028056236915290356
1613068233.127579,1,-0.016275659203529358
1613068233.180672,2,-0.063961923122406
1613068233.235222,3,-0.22677849233150482
1613068233.297482,4,-0.2944701910018921
1613068233.360305,5,-0.34953558444976807
1613068233.427307,6,-0.2395716905593872
1613068233.496116,7,-0.28568509221076965
1613068233.561786,8,-0.2366584986448288
1613068233.631226,9,-0.147872194647789
1613068233.695348,10,-0.2407519519329071
1613068233.757976,11,-0.28021010756492615
1613068233.836254,12,-0.3494747281074524
1613068233.909669,13,-0.3608264923095703
1613068233.984177,14,-0.3157828450202942
1613068234.068557,15,-0.321778804063797
1613068234.142826,16,-0.38510945439338684
1613068234.215487,17,-0.3632548153400421
1613068234.287226,18,-0.40469634532928467
1613068234.359902,19,-0.45523154735565186
1613068234.431328,20,-0.43643370270729065
1613068234.509088,21,-0.4666491746902466
1613068234.582509,22,-0.4162221848964691
1613068234.655937,23,-0.392807275056839
1613068234.732477,24,-0.42217567563056946
1613068234.802436,25,-0.30933907628059387
1613068234.877152,26,-0.31750011444091797
1613068234.948757,27,-0.3850286900997162
1613068235.020566,28,-0.4272579252719879
1613068235.095643,29,-0.43193119764328003
1613068235.17159,30,-0.39252522587776184
1613068235.243944,31,-0.5486921072006226
1613068235.309459,32,-0.4541585147380829
1613068235.375133,33,-0.42445412278175354
1613068235.443745,34,-0.46355053782463074
1613068235.515141,35,-0.39190030097961426
1613068235.582841,36,-0.30701789259910583
1613068235.661979,37,-0.405246376991272
1613068235.738071,38,-0.45774757862091064
1613068235.810825,39,-0.5235235095024109
1613068235.884483,40,-0.4622492492198944
1613068235.959259,41,-0.39368805289268494
1613068236.034334,42,-0.3480131924152374
1613068236.108456,43,-0.4441830813884735
1613068236.188026,44,-0.37607768177986145
1613068236.261669,45,-0.27232134342193604
1613068236.335129,46,-0.369781494140625
1613068236.409999,47,-0.357557475566864
1613068236.483136,48,-0.3997737467288971
1613068236.559883,49,-0.39811471104621887
1613068236.63288,50,-0.4356897473335266
1613068236.709263,51,-0.3772110641002655
1613068236.782553,52,-0.3872959613800049
1613068236.859581,53,-0.386892706155777
1613068236.937198,54,-0.4326256215572357
1613068237.013635,55,-0.35539859533309937
1613068237.088198,56,-0.4840836822986603
1613068237.168654,57,-0.45695918798446655
1613068237.243509,58,-0.4198303520679474
1613068237.31987,59,-0.471043199300766
1613068237.397781,60,-0.47115594148635864
1613068237.472119,61,-0.44118931889533997
1613068237.551751,62,-0.4813716411590576
1613068237.622004,63,-0.451261967420578
1613068237.687442,64,-0.46567797660827637
1613068237.749829,65,-0.47164490818977356
1613068237.827487,66,-0.4381900131702423
1613068237.89576,67,-0.4646351635456085
1613068237.959249,68,-0.4756578207015991
1613068238.03424,69,-0.4735182523727417
1613068238.094397,70,-0.5453019738197327
1613068238.157036,71,-0.49363669753074646
1613068238.227339,72,-0.4221462309360504
1613068238.295061,73,-0.4132799506187439
1613068238.368813,74,-0.3617616593837738
1613068238.439285,75,-0.3782227337360382
1613068238.522113,76,-0.34930679202079773
1613068238.60243,77,-0.32657578587532043
1613068238.696128,78,-0.479863703250885
1613068238.758579,79,-0.4220528304576874
1613068238.819069,80,-0.30529987812042236
1613068238.892425,81,-0.36706316471099854
1613068238.959413,82,-0.5695750117301941
1613068239.026713,83,-0.4399563670158386
1613068239.094099,84,-0.49383267760276794
1613068239.161026,85,-0.5371304154396057
1613068239.227389,86,-0.5456854701042175
1613068239.29668,87,-0.43538111448287964
1613068239.373988,88,-0.5360692143440247
1613068239.450709,89,-0.4640007019042969
1613068239.529518,90,-0.5264883041381836
1613068239.597145,91,-0.42826640605926514
1613068239.654901,92,-0.3205030858516693
1613068239.723879,93,-0.3392588496208191
1613068239.797124,94,-0.3799946904182434
1613068239.863948,95,-0.4463869035243988
1613068239.940949,96,-0.5309301614761353
1613068240.010714,97,-0.28002798557281494
1613068240.072812,98,-0.23514221608638763
1613068240.159679,99,-0.2889045476913452
