Wall time,Step,Value
1613067805.165762,0,-0.0005234380951151252
1613067805.225047,1,-0.0016887638485059142
1613067805.283406,2,-0.001806750544346869
1613067805.356086,3,-0.0018010074272751808
1613067805.451193,4,-0.0011717310408130288
1613067805.542761,5,-0.0023715465795248747
1613067805.636448,6,-0.002198482397943735
1613067805.711157,7,-0.002649555215612054
1613067805.772837,8,-0.0016552656888961792
1613067805.842642,9,-0.0032114582136273384
1613067805.914999,10,-0.00275044864974916
1613067805.989933,11,-0.002566385082900524
1613067806.04982,12,-0.0040285708382725716
1613067806.110028,13,-0.004181159660220146
1613067806.175634,14,-0.0065612769685685635
1613067806.24,15,-0.005567546002566814
1613067806.303711,16,-0.005413983482867479
1613067806.366457,17,-0.006895376835018396
1613067806.427523,18,-0.0074819540604949
1613067806.491898,19,-0.00939905270934105
1613067806.555055,20,-0.01086801290512085
1613067806.618419,21,-0.009688129648566246
1613067806.679174,22,-0.013791185803711414
1613067806.741703,23,-0.018944254145026207
1613067806.806252,24,-0.023237159475684166
1613067806.871402,25,-0.023252135142683983
1613067806.936121,26,-0.016455497592687607
1613067807.001473,27,-0.01733887381851673
1613067807.066706,28,-0.016486817970871925
1613067807.131659,29,-0.01892990432679653
1613067807.198772,30,-0.016915133222937584
1613067807.275023,31,-0.018373508006334305
1613067807.343991,32,-0.02693975158035755
1613067807.407032,33,-0.02878427691757679
1613067807.473504,34,-0.03479711338877678
1613067807.536751,35,-0.0258784219622612
1613067807.601235,36,-0.04707195609807968
1613067807.664281,37,-0.03628065437078476
1613067807.728979,38,-0.025739338248968124
1613067807.795252,39,-0.03373207896947861
1613067807.860032,40,-0.03790578246116638
1613067807.930591,41,-0.03628184646368027
1613067808.007181,42,-0.03172589838504791
1613067808.096819,43,-0.03267165273427963
1613067808.167475,44,-0.035868529230356216
1613067808.234563,45,-0.032726142555475235
1613067808.301712,46,-0.0394093357026577
1613067808.371632,47,-0.05715051665902138
1613067808.451664,48,-0.05198855325579643
1613067808.517156,49,-0.033991873264312744
1613067808.581233,50,-0.03821747377514839
1613067808.644456,51,-0.04416249319911003
1613067808.708247,52,-0.07225536555051804
1613067808.772097,53,-0.0741611123085022
1613067808.845157,54,-0.07897742837667465
1613067808.913537,55,-0.08055629581212997
1613067808.983772,56,-0.09344929456710815
1613067809.051582,57,-0.06245161592960358
1613067809.118095,58,-0.0652863085269928
1613067809.193287,59,-0.05412997305393219
1613067809.274523,60,-0.06739170849323273
1613067809.365701,61,-0.08375132828950882
1613067809.45272,62,-0.09532438218593597
1613067809.532563,63,-0.10810831189155579
1613067809.61258,64,-0.09023019671440125
1613067809.683739,65,-0.07131388783454895
1613067809.75536,66,-0.07565052807331085
1613067809.82752,67,-0.08081665635108948
1613067809.897146,68,-0.053990162909030914
1613067809.971474,69,-0.058024853467941284
1613067810.042895,70,-0.06483939290046692
1613067810.123215,71,-0.05622434243559837
1613067810.205429,72,-0.05532345920801163
1613067810.282156,73,-0.06861662119626999
1613067810.36536,74,-0.10038875788450241
1613067810.430856,75,-0.07154165953397751
1613067810.49287,76,-0.09801775217056274
1613067810.569174,77,-0.07780249416828156
1613067810.650505,78,-0.08748263120651245
1613067810.723913,79,-0.10592091828584671
1613067810.80729,80,-0.10427194833755493
1613067810.872497,81,-0.08387734740972519
1613067810.935203,82,-0.05260671675205231
1613067811.012444,83,-0.06032333895564079
1613067811.081177,84,-0.06528143584728241
1613067811.157969,85,-0.06841579079627991
1613067811.234828,86,-0.07693090289831161
1613067811.317382,87,-0.09007567167282104
1613067811.397353,88,-0.08312708139419556
1613067811.47706,89,-0.09042280912399292
1613067811.550528,90,-0.11635954678058624
1613067811.624526,91,-0.11761558800935745
1613067811.700955,92,-0.10344866663217545
1613067811.779376,93,-0.13701103627681732
1613067811.853436,94,-0.1349753886461258
1613067811.928086,95,-0.1328328251838684
1613067812.005311,96,-0.12975609302520752
1613067812.079558,97,-0.07513943314552307
1613067812.155426,98,-0.07011067122220993
1613067812.231387,99,-0.100944884121418
