Wall time,Step,Value
1613067750.207433,0,0.0008832727326080203
1613067750.261212,1,-0.0016665625153109431
1613067750.31364,2,-0.003011047840118408
1613067750.368317,3,-0.005125113762915134
1613067750.446083,4,-0.008713181130588055
1613067750.512746,5,-0.01286296732723713
1613067750.580522,6,-0.01694396138191223
1613067750.650982,7,-0.031211234629154205
1613067750.720915,8,-0.033819928765296936
1613067750.804209,9,-0.035558074712753296
1613067750.879024,10,-0.040998294949531555
1613067750.944402,11,-0.057575687766075134
1613067751.011818,12,-0.09403547644615173
1613067751.076846,13,-0.08689117431640625
1613067751.139362,14,-0.10852136462926865
1613067751.201154,15,-0.08879873901605606
1613067751.267936,16,-0.16566762328147888
1613067751.322942,17,-0.1510486751794815
1613067751.380904,18,-0.10381143540143967
1613067751.440323,19,-0.08859604597091675
1613067751.502156,20,-0.09577154368162155
1613067751.564689,21,-0.10965690016746521
1613067751.627174,22,-0.15368282794952393
1613067751.688481,23,-0.15577028691768646
1613067751.752441,24,-0.1757669299840927
1613067751.814802,25,-0.21042971312999725
1613067751.8785,26,-0.1498936116695404
1613067751.947031,27,-0.15156956017017365
1613067752.01083,28,-0.14040522277355194
1613067752.087167,29,-0.18313457071781158
1613067752.15186,30,-0.19723740220069885
1613067752.228011,31,-0.19211341440677643
1613067752.308029,32,-0.27170509099960327
1613067752.374843,33,-0.17682179808616638
1613067752.440484,34,-0.19215375185012817
1613067752.507376,35,-0.2026863992214203
1613067752.594396,36,-0.11818525195121765
1613067752.675407,37,-0.16972127556800842
1613067752.750063,38,-0.23012767732143402
1613067752.823191,39,-0.11956364661455154
1613067752.898143,40,-0.19471508264541626
1613067752.97294,41,-0.1717359572649002
1613067753.046946,42,-0.17651163041591644
1613067753.122302,43,-0.15542744100093842
1613067753.199595,44,-0.17089612782001495
1613067753.277145,45,-0.14316189289093018
1613067753.365205,46,-0.17942549288272858
1613067753.442939,47,-0.1927962452173233
1613067753.518582,48,-0.2418712079524994
1613067753.594081,49,-0.2079797238111496
1613067753.676895,50,-0.18944622576236725
1613067753.757569,51,-0.19376106560230255
1613067753.841943,52,-0.173833429813385
1613067753.927124,53,-0.255703330039978
1613067754.009756,54,-0.26452115178108215
1613067754.087234,55,-0.24131155014038086
1613067754.146194,56,-0.22499671578407288
1613067754.206471,57,-0.18389543890953064
1613067754.274002,58,-0.1923743188381195
1613067754.340322,59,-0.2141011357307434
1613067754.407724,60,-0.19509698450565338
1613067754.4755,61,-0.24849402904510498
1613067754.546608,62,-0.260268896818161
1613067754.611944,63,-0.30667346715927124
1613067754.677059,64,-0.3047488331794739
1613067754.744979,65,-0.20236605405807495
1613067754.805131,66,-0.20128358900547028
1613067754.857183,67,-0.1969216763973236
1613067754.912001,68,-0.1610497683286667
1613067754.984337,69,-0.17036403715610504
1613067755.059875,70,-0.18254417181015015
1613067755.158674,71,-0.20603743195533752
1613067755.259274,72,-0.21648156642913818
1613067755.337547,73,-0.21741676330566406
1613067755.402973,74,-0.18499816954135895
1613067755.484052,75,-0.252808541059494
1613067755.559049,76,-0.23393140733242035
1613067755.635277,77,-0.17842157185077667
1613067755.710081,78,-0.25260859727859497
1613067755.790739,79,-0.2563650906085968
1613067755.866462,80,-0.2262958139181137
1613067755.940969,81,-0.13245242834091187
1613067756.014574,82,-0.13501815497875214
1613067756.087332,83,-0.17716073989868164
1613067756.159641,84,-0.16930553317070007
1613067756.232385,85,-0.14559967815876007
1613067756.312316,86,-0.23732975125312805
1613067756.386875,87,-0.18098776042461395
1613067756.460368,88,-0.2395288646221161
1613067756.532276,89,-0.13763844966888428
1613067756.606237,90,-0.29459622502326965
1613067756.679408,91,-0.2447367161512375
1613067756.756827,92,-0.2137436717748642
1613067756.832973,93,-0.23500829935073853
1613067756.907122,94,-0.2531166672706604
1613067756.982001,95,-0.281891793012619
1613067757.061512,96,-0.24402490258216858
1613067757.138865,97,-0.12858900427818298
1613067757.214025,98,-0.12579654157161713
1613067757.294319,99,-0.1580038219690323
