Wall time,Step,Value
1613067658.184367,0,-3.255492993048392e-05
1613067658.25757,1,-0.0002388427237747237
1613067658.359802,2,-0.0007530379807576537
1613067658.434049,3,-0.0007646815502084792
1613067658.502344,4,-0.001432427205145359
1613067658.567655,5,-0.0024868587497621775
1613067658.640016,6,-0.0044030616991221905
1613067658.721692,7,-0.008124071173369884
1613067658.795085,8,-0.012358668260276318
1613067658.862239,9,-0.011969328857958317
1613067658.928464,10,-0.023713625967502594
1613067658.995149,11,-0.021383455023169518
1613067659.061591,12,-0.05837373435497284
1613067659.12648,13,-0.04334326088428497
1613067659.196727,14,-0.058627452701330185
1613067659.26247,15,-0.05374164879322052
1613067659.334691,16,-0.052357759326696396
1613067659.407796,17,-0.08346505463123322
1613067659.476456,18,-0.04585590213537216
1613067659.544819,19,-0.04308367893099785
1613067659.613599,20,-0.06785205006599426
1613067659.681387,21,-0.05924900621175766
1613067659.753726,22,-0.08628655225038528
1613067659.829648,23,-0.09427996724843979
1613067659.900124,24,-0.12748372554779053
1613067659.971042,25,-0.14372803270816803
1613067660.041292,26,-0.11022353172302246
1613067660.122023,27,-0.10721408575773239
1613067660.199003,28,-0.09789085388183594
1613067660.268822,29,-0.11275798082351685
1613067660.33931,30,-0.10786259919404984
1613067660.411259,31,-0.11689754575490952
1613067660.48127,32,-0.1435246616601944
1613067660.553394,33,-0.1736392378807068
1613067660.62467,34,-0.13453924655914307
1613067660.694104,35,-0.1417904794216156
1613067660.763438,36,-0.1374053955078125
1613067660.834135,37,-0.11537957936525345
1613067660.905685,38,-0.15575148165225983
1613067660.973482,39,-0.10894432663917542
1613067661.043365,40,-0.14144989848136902
1613067661.111736,41,-0.10779206454753876
1613067661.184515,42,-0.12617367506027222
1613067661.257175,43,-0.13601054251194
1613067661.32688,44,-0.13449323177337646
1613067661.399081,45,-0.12031612545251846
1613067661.483842,46,-0.11418172717094421
1613067661.558635,47,-0.12360722571611404
1613067661.628597,48,-0.20506349205970764
1613067661.716741,49,-0.18897180259227753
1613067661.792259,50,-0.18189074099063873
1613067661.860556,51,-0.15917381644248962
1613067661.940302,52,-0.17732886970043182
1613067662.005927,53,-0.1804475635290146
1613067662.102035,54,-0.19973835349082947
1613067662.186484,55,-0.22746707499027252
1613067662.264073,56,-0.22740806639194489
1613067662.345217,57,-0.16078902781009674
1613067662.425667,58,-0.14685463905334473
1613067662.504247,59,-0.22585931420326233
1613067662.579369,60,-0.19277265667915344
1613067662.654595,61,-0.1362813264131546
1613067662.73595,62,-0.2740066945552826
1613067662.817523,63,-0.2710914611816406
1613067662.890854,64,-0.2629343271255493
1613067662.947896,65,-0.18538111448287964
1613067663.018988,66,-0.20765942335128784
1613067663.089376,67,-0.18408183753490448
1613067663.159515,68,-0.14606474339962006
1613067663.241074,69,-0.1617605835199356
1613067663.32194,70,-0.14165329933166504
1613067663.403039,71,-0.17053937911987305
1613067663.482449,72,-0.1423434019088745
1613067663.560083,73,-0.15438836812973022
1613067663.637735,74,-0.18015523254871368
1613067663.717209,75,-0.24472664296627045
1613067663.780271,76,-0.2108234167098999
1613067663.843615,77,-0.1512363851070404
1613067663.906214,78,-0.2002502828836441
1613067663.968192,79,-0.25242477655410767
1613067664.031019,80,-0.18190675973892212
1613067664.104829,81,-0.13302995264530182
1613067664.182616,82,-0.11458442360162735
1613067664.258912,83,-0.11836058646440506
1613067664.335455,84,-0.16108295321464539
1613067664.410987,85,-0.14207808673381805
1613067664.489433,86,-0.19313082098960876
1613067664.580056,87,-0.20914073288440704
1613067664.643287,88,-0.21454653143882751
1613067664.721081,89,-0.1961858868598938
1613067664.783666,90,-0.23000457882881165
1613067664.848076,91,-0.19922494888305664
1613067664.921347,92,-0.1776563823223114
1613067665.001082,93,-0.23881231248378754
1613067665.082901,94,-0.20802293717861176
1613067665.158222,95,-0.31540149450302124
1613067665.252266,96,-0.25112053751945496
1613067665.335009,97,-0.12980370223522186
1613067665.438522,98,-0.12087474018335342
1613067665.517585,99,-0.17200733721256256
