Wall time,Step,Value
1613067713.292951,0,0.0012744179693982005
1613067713.346945,1,-0.0001409067917848006
1613067713.401333,2,-0.0007870139088481665
1613067713.457553,3,-0.0022771579679101706
1613067713.515441,4,-0.0037242835387587547
1613067713.58353,5,-0.009589942172169685
1613067713.650319,6,-0.015612573362886906
1613067713.708923,7,-0.026584388688206673
1613067713.768436,8,-0.027447514235973358
1613067713.829093,9,-0.034001514315605164
1613067713.889881,10,-0.06607687473297119
1613067713.950283,11,-0.08148369938135147
1613067714.009844,12,-0.09340003877878189
1613067714.072391,13,-0.09774694591760635
1613067714.135486,14,-0.08523309975862503
1613067714.199022,15,-0.14334246516227722
1613067714.28095,16,-0.1259288638830185
1613067714.34896,17,-0.13885986804962158
1613067714.405386,18,-0.10103622078895569
1613067714.470729,19,-0.0947837233543396
1613067714.538527,20,-0.08997318148612976
1613067714.604865,21,-0.12574629485607147
1613067714.669126,22,-0.10499699413776398
1613067714.733329,23,-0.14566075801849365
1613067714.798746,24,-0.14953988790512085
1613067714.863153,25,-0.13200832903385162
1613067714.931318,26,-0.15233580768108368
1613067714.996121,27,-0.126042440533638
1613067715.061737,28,-0.15814390778541565
1613067715.130287,29,-0.15801078081130981
1613067715.209899,30,-0.13196249306201935
1613067715.309818,31,-0.17198346555233002
1613067715.390479,32,-0.17790135741233826
1613067715.44435,33,-0.18130463361740112
1613067715.506266,34,-0.1450958102941513
1613067715.566234,35,-0.17758752405643463
1613067715.635823,36,-0.15350008010864258
1613067715.718714,37,-0.1574772596359253
1613067715.809978,38,-0.13797783851623535
1613067715.873079,39,-0.13456112146377563
1613067715.944591,40,-0.15794076025485992
1613067716.015392,41,-0.14271220564842224
1613067716.087066,42,-0.12085879594087601
1613067716.156357,43,-0.1439014971256256
1613067716.22996,44,-0.181112140417099
1613067716.301053,45,-0.2105368673801422
1613067716.376055,46,-0.1693425327539444
1613067716.445985,47,-0.15045084059238434
1613067716.511903,48,-0.15036678314208984
1613067716.580275,49,-0.17930889129638672
1613067716.647562,50,-0.16786445677280426
1613067716.715066,51,-0.1688176393508911
1613067716.782244,52,-0.23310469090938568
1613067716.849127,53,-0.24444125592708588
1613067716.932426,54,-0.23638083040714264
1613067717.001358,55,-0.18352250754833221
1613067717.07136,56,-0.22936968505382538
1613067717.142726,57,-0.20136211812496185
1613067717.215006,58,-0.22095395624637604
1613067717.290174,59,-0.16532957553863525
1613067717.36655,60,-0.1645357757806778
1613067717.435935,61,-0.24213901162147522
1613067717.504156,62,-0.2121090292930603
1613067717.573091,63,-0.241683691740036
1613067717.642677,64,-0.24423253536224365
1613067717.710907,65,-0.2162151336669922
1613067717.78028,66,-0.21709059178829193
1613067717.850161,67,-0.22931428253650665
1613067717.92258,68,-0.14755529165267944
1613067718.003881,69,-0.17132090032100677
1613067718.095603,70,-0.13991005718708038
1613067718.181027,71,-0.15238071978092194
1613067718.245082,72,-0.137677863240242
1613067718.310298,73,-0.23282934725284576
1613067718.38731,74,-0.1902523636817932
1613067718.469673,75,-0.23039653897285461
1613067718.542428,76,-0.19122348725795746
1613067718.619324,77,-0.17566277086734772
1613067718.689912,78,-0.2752845883369446
1613067718.75923,79,-0.2923243045806885
1613067718.829768,80,-0.18713316321372986
1613067718.899981,81,-0.10228818655014038
1613067718.973978,82,-0.10592035204172134
1613067719.059558,83,-0.11638598144054413
1613067719.133301,84,-0.1843053251504898
1613067719.203064,85,-0.16174668073654175
1613067719.276485,86,-0.15784530341625214
1613067719.349892,87,-0.1724172979593277
1613067719.421972,88,-0.20752492547035217
1613067719.492823,89,-0.19939760863780975
1613067719.562522,90,-0.23547089099884033
1613067719.633936,91,-0.2559875249862671
1613067719.705549,92,-0.1793747842311859
1613067719.779879,93,-0.2843451201915741
1613067719.847059,94,-0.31379976868629456
1613067719.907858,95,-0.19619975984096527
1613067719.961914,96,-0.2370004504919052
1613067720.015377,97,-0.14415839314460754
1613067720.073085,98,-0.16478542983531952
1613067720.150658,99,-0.160385861992836
