Wall time,Step,Value
1613067896.476453,0,7.924772944534197e-05
1613067896.527026,1,-0.0016380873275920749
1613067896.578885,2,-0.00451493076980114
1613067896.631192,3,-0.005515949800610542
1613067896.683237,4,-0.0036613333504647017
1613067896.736823,5,-0.009678024798631668
1613067896.789389,6,-0.00300682638771832
1613067896.842488,7,-0.010057254694402218
1613067896.89542,8,-0.00984286330640316
1613067896.951499,9,-0.0094373794272542
1613067897.004562,10,-0.010693631134927273
1613067897.056837,11,-0.015432577580213547
1613067897.109395,12,-0.021199876442551613
1613067897.161709,13,-0.0393788181245327
1613067897.213793,14,-0.04875170812010765
1613067897.266539,15,-0.050976578146219254
1613067897.318283,16,-0.09543471038341522
1613067897.37363,17,-0.07980220019817352
1613067897.432393,18,-0.07832401990890503
1613067897.489638,19,-0.07068551331758499
1613067897.543212,20,-0.07652983069419861
1613067897.611755,21,-0.09718098491430283
1613067897.670355,22,-0.112989641726017
1613067897.729914,23,-0.13232889771461487
1613067897.791002,24,-0.16185787320137024
1613067897.849949,25,-0.17114005982875824
1613067897.912042,26,-0.20556579530239105
1613067897.970827,27,-0.18992376327514648
1613067898.029884,28,-0.21870118379592896
1613067898.090359,29,-0.19518545269966125
1613067898.151774,30,-0.185686394572258
1613067898.211492,31,-0.20083296298980713
1613067898.271983,32,-0.1977872997522354
1613067898.331961,33,-0.30874842405319214
1613067898.394655,34,-0.2562547028064728
1613067898.455443,35,-0.22540193796157837
1613067898.512811,36,-0.24097226560115814
1613067898.571348,37,-0.22317084670066833
1613067898.62906,38,-0.25751614570617676
1613067898.686047,39,-0.225905641913414
1613067898.743045,40,-0.27549487352371216
1613067898.810529,41,-0.28214848041534424
1613067898.867163,42,-0.28168419003486633
1613067898.934157,43,-0.2517481744289398
1613067898.996518,44,-0.32208794355392456
1613067899.07313,45,-0.2718414068222046
1613067899.144235,46,-0.2399325966835022
1613067899.205384,47,-0.26967042684555054
1613067899.266017,48,-0.2662230134010315
1613067899.330335,49,-0.385651171207428
1613067899.397474,50,-0.2664555013179779
1613067899.462395,51,-0.3117590844631195
1613067899.526614,52,-0.32702940702438354
1613067899.59124,53,-0.3170977234840393
1613067899.655726,54,-0.3905898928642273
1613067899.715829,55,-0.3193940222263336
1613067899.767612,56,-0.3587220013141632
1613067899.81924,57,-0.32431304454803467
1613067899.872816,58,-0.3494464159011841
1613067899.934789,59,-0.36925891041755676
1613067900.000809,60,-0.315282940864563
1613067900.06174,61,-0.3781726062297821
1613067900.119591,62,-0.3925822079181671
1613067900.177101,63,-0.38392582535743713
1613067900.23465,64,-0.33023688197135925
1613067900.296528,65,-0.3346588909626007
1613067900.361708,66,-0.33002960681915283
1613067900.425283,67,-0.38853347301483154
1613067900.485122,68,-0.2929227650165558
1613067900.544353,69,-0.30603355169296265
1613067900.605562,70,-0.31338292360305786
1613067900.674705,71,-0.28130003809928894
1613067900.742635,72,-0.37468087673187256
1613067900.812316,73,-0.26238131523132324
1613067900.880893,74,-0.37842386960983276
1613067900.953403,75,-0.2769737243652344
1613067901.025562,76,-0.2857917249202728
1613067901.09779,77,-0.34269535541534424
1613067901.168443,78,-0.23384885489940643
1613067901.239385,79,-0.35180455446243286
1613067901.315347,80,-0.3447474241256714
1613067901.388387,81,-0.29233697056770325
1613067901.462143,82,-0.3633299767971039
1613067901.533087,83,-0.3188796937465668
1613067901.60661,84,-0.38500577211380005
1613067901.67793,85,-0.360256552696228
1613067901.749048,86,-0.29177072644233704
1613067901.820144,87,-0.34898990392684937
1613067901.887844,88,-0.3468293845653534
1613067901.940885,89,-0.32578131556510925
1613067901.993568,90,-0.3719758987426758
1613067902.046322,91,-0.33716070652008057
1613067902.099736,92,-0.36249932646751404
1613067902.156015,93,-0.37964928150177
1613067902.217657,94,-0.330905944108963
1613067902.269601,95,-0.3771701753139496
1613067902.322326,96,-0.39974960684776306
1613067902.375567,97,-0.19908228516578674
1613067902.429935,98,-0.20502200722694397
1613067902.493536,99,-0.21732421219348907
