Wall time,Step,Value
1613068178.434337,0,6.648499402217567e-05
1613068178.493776,1,6.714033952448517e-05
1613068178.550788,2,5.7113051298074424e-05
1613068178.651922,3,2.844936170731671e-05
1613068178.728057,4,3.7136200262466446e-05
1613068178.792134,5,2.7881078494829126e-05
1613068178.852894,6,6.994689101702534e-06
1613068178.913786,7,5.92405001498264e-07
1613068178.975644,8,-7.308246495085768e-06
1613068179.037238,9,-4.5820138439012226e-06
1613068179.098157,10,-2.1400135665317066e-05
1613068179.159522,11,-1.640497794141993e-05
1613068179.221009,12,-5.969183621346019e-05
1613068179.285936,13,-0.00010435433796374127
1613068179.348594,14,-0.00019611373136285692
1613068179.41165,15,-0.00016345524636562914
1613068179.475385,16,-0.00027648781542666256
1613068179.535958,17,-0.00024283758830279112
1613068179.594839,18,-0.00037766166497021914
1613068179.655688,19,-0.0006204250967130065
1613068179.713535,20,-0.0006512066465802491
1613068179.771344,21,-0.000732789805624634
1613068179.829762,22,-0.0011043488048017025
1613068179.88933,23,-0.0016278268303722143
1613068179.957411,24,-0.002432646229863167
1613068180.02413,25,-0.002415863797068596
1613068180.10102,26,-0.0025357352569699287
1613068180.180166,27,-0.0049812160432338715
1613068180.261134,28,-0.0037640975788235664
1613068180.339251,29,-0.006232772953808308
1613068180.41664,30,-0.0059212190099060535
1613068180.505183,31,-0.0066426838748157024
1613068180.580186,32,-0.00792374461889267
1613068180.660195,33,-0.01053551770746708
1613068180.735435,34,-0.013127218931913376
1613068180.807608,35,-0.016424117609858513
1613068180.880434,36,-0.03069901466369629
1613068180.952735,37,-0.019890442490577698
1613068181.02566,38,-0.02406373992562294
1613068181.087995,39,-0.03346458077430725
1613068181.150226,40,-0.03411528095602989
1613068181.21372,41,-0.025806806981563568
1613068181.276401,42,-0.040419865399599075
1613068181.349133,43,-0.04139268770813942
1613068181.410498,44,-0.03751120716333389
1613068181.468535,45,-0.042444318532943726
1613068181.527173,46,-0.05147142335772514
1613068181.587036,47,-0.056024421006441116
1613068181.65614,48,-0.06003845855593681
1613068181.728586,49,-0.054281625896692276
1613068181.799469,50,-0.043496571481227875
1613068181.871086,51,-0.06614071875810623
1613068181.945223,52,-0.0863305926322937
1613068182.007645,53,-0.08108383417129517
1613068182.077367,54,-0.11617299914360046
1613068182.136823,55,-0.07871183753013611
1613068182.196861,56,-0.07962992787361145
1613068182.257403,57,-0.07303601503372192
1613068182.321201,58,-0.0900827944278717
1613068182.382323,59,-0.07308021187782288
1613068182.44926,60,-0.10278936475515366
1613068182.503768,61,-0.1080051064491272
1613068182.558754,62,-0.12821145355701447
1613068182.614967,63,-0.13590262830257416
1613068182.672226,64,-0.11873286962509155
1613068182.737638,65,-0.09448270499706268
1613068182.795239,66,-0.09775480628013611
1613068182.850082,67,-0.09019429236650467
1613068182.906306,68,-0.08727557212114334
1613068182.961255,69,-0.08378924429416656
1613068183.016237,70,-0.0821438580751419
1613068183.085276,71,-0.06447423994541168
1613068183.140829,72,-0.07964667677879333
1613068183.19639,73,-0.10337526351213455
1613068183.252419,74,-0.10750484466552734
1613068183.308532,75,-0.11930394917726517
1613068183.368471,76,-0.14849229156970978
1613068183.435314,77,-0.07779261469841003
1613068183.489887,78,-0.18912383913993835
1613068183.547227,79,-0.139013409614563
1613068183.605487,80,-0.10066649317741394
1613068183.689286,81,-0.10633903741836548
1613068183.763618,82,-0.07227220386266708
1613068183.828316,83,-0.06952367722988129
1613068183.889928,84,-0.08589716255664825
1613068183.952403,85,-0.09877856075763702
1613068184.014907,86,-0.09924322366714478
1613068184.076241,87,-0.09721511602401733
1613068184.146632,88,-0.1386537104845047
1613068184.212856,89,-0.10426308959722519
1613068184.27841,90,-0.1484009474515915
1613068184.344389,91,-0.16099423170089722
1613068184.411346,92,-0.16478170454502106
1613068184.475867,93,-0.17605066299438477
1613068184.539454,94,-0.14544709026813507
1613068184.593636,95,-0.15971863269805908
1613068184.650852,96,-0.17916780710220337
1613068184.704188,97,-0.1115446537733078
1613068184.757717,98,-0.1250971257686615
1613068184.820938,99,-0.10126688331365585
