Wall time,Step,Value
1613068072.439796,0,-0.0019820048473775387
1613068072.491412,1,-0.0030766737181693316
1613068072.545261,2,-0.004845775198191404
1613068072.597045,3,-0.00668496685102582
1613068072.652196,4,-0.018591629341244698
1613068072.704654,5,-0.04083969071507454
1613068072.758635,6,-0.08208740502595901
1613068072.814314,7,-0.08178077638149261
1613068072.866725,8,-0.05756562575697899
1613068072.919085,9,-0.06241411715745926
1613068072.972533,10,-0.09612955898046494
1613068073.026511,11,-0.07789114117622375
1613068073.079106,12,-0.11664328724145889
1613068073.131922,13,-0.10429158806800842
1613068073.184397,14,-0.13030663132667542
1613068073.256776,15,-0.14405032992362976
1613068073.320525,16,-0.14981387555599213
1613068073.384127,17,-0.25123804807662964
1613068073.449456,18,-0.09385271370410919
1613068073.512407,19,-0.10170179605484009
1613068073.578682,20,-0.12255224585533142
1613068073.64059,21,-0.14213165640830994
1613068073.693536,22,-0.14603319764137268
1613068073.748158,23,-0.20040357112884521
1613068073.803834,24,-0.1880955845117569
1613068073.857572,25,-0.2527056634426117
1613068073.912872,26,-0.1616360992193222
1613068073.965406,27,-0.21053054928779602
1613068074.018661,28,-0.17822086811065674
1613068074.070759,29,-0.19803321361541748
1613068074.123399,30,-0.22777312994003296
1613068074.176491,31,-0.17389686405658722
1613068074.260321,32,-0.26613712310791016
1613068074.31524,33,-0.2387198507785797
1613068074.368471,34,-0.22350344061851501
1613068074.422009,35,-0.23138684034347534
1613068074.476448,36,-0.22783654928207397
1613068074.53993,37,-0.20876216888427734
1613068074.608633,38,-0.2262290120124817
1613068074.674262,39,-0.2143029421567917
1613068074.740273,40,-0.26924946904182434
1613068074.804178,41,-0.23389041423797607
1613068074.867968,42,-0.280435711145401
1613068074.940671,43,-0.29499363899230957
1613068075.001745,44,-0.16790783405303955
1613068075.066784,45,-0.21004974842071533
1613068075.126758,46,-0.26127177476882935
1613068075.190522,47,-0.33589816093444824
1613068075.270728,48,-0.2911880612373352
1613068075.362149,49,-0.2455228567123413
1613068075.425704,50,-0.2120102494955063
1613068075.482244,51,-0.2865487337112427
1613068075.536826,52,-0.25596654415130615
1613068075.598348,53,-0.2219199389219284
1613068075.675802,54,-0.33452752232551575
1613068075.756519,55,-0.27261579036712646
1613068075.832457,56,-0.3297707438468933
1613068075.907777,57,-0.3308989703655243
1613068075.982635,58,-0.31790226697921753
1613068076.057884,59,-0.26492375135421753
1613068076.122213,60,-0.24184808135032654
1613068076.181919,61,-0.2810674011707306
1613068076.242224,62,-0.3997352123260498
1613068076.298554,63,-0.33369681239128113
1613068076.351337,64,-0.3093138039112091
1613068076.41602,65,-0.27774229645729065
1613068076.475218,66,-0.2594452202320099
1613068076.53075,67,-0.32608577609062195
1613068076.593037,68,-0.2818922698497772
1613068076.648849,69,-0.2898043394088745
1613068076.704841,70,-0.21405653655529022
1613068076.772646,71,-0.2417054921388626
1613068076.831492,72,-0.28707626461982727
1613068076.890487,73,-0.2907243072986603
1613068076.955585,74,-0.22701679170131683
1613068077.01666,75,-0.22755028307437897
1613068077.082312,76,-0.3162665367126465
1613068077.146362,77,-0.3200932443141937
1613068077.2009,78,-0.2693418562412262
1613068077.255167,79,-0.34702068567276
1613068077.319095,80,-0.29052552580833435
1613068077.380184,81,-0.20227445662021637
1613068077.448158,82,-0.2995356321334839
1613068077.52594,83,-0.22311323881149292
1613068077.602734,84,-0.25985702872276306
1613068077.676194,85,-0.2620648741722107
1613068077.750781,86,-0.25886136293411255
1613068077.824111,87,-0.2940397262573242
1613068077.892031,88,-0.3130542039871216
1613068077.946694,89,-0.33389654755592346
1613068078.001221,90,-0.308267205953598
1613068078.055021,91,-0.3968576192855835
1613068078.108399,92,-0.2927458882331848
1613068078.167463,93,-0.2351422905921936
1613068078.262336,94,-0.32232803106307983
1613068078.338719,95,-0.42308712005615234
1613068078.413045,96,-0.4013386070728302
1613068078.493043,97,-0.1490744948387146
1613068078.575752,98,-0.22227545082569122
1613068078.6616,99,-0.19637440145015717
