Wall time,Step,Value
1613068054.103606,0,-0.0002866352442651987
1613068054.15654,1,-0.00472779618576169
1613068054.210149,2,-0.011062008328735828
1613068054.264992,3,-0.02385271154344082
1613068054.319568,4,-0.040215179324150085
1613068054.375191,5,-0.05856965854763985
1613068054.42923,6,-0.09649457782506943
1613068054.481886,7,-0.07593577355146408
1613068054.552428,8,-0.07776346057653427
1613068054.611985,9,-0.05627843365073204
1613068054.672262,10,-0.06166299805045128
1613068054.736061,11,-0.1002153754234314
1613068054.802597,12,-0.14079594612121582
1613068054.8733,13,-0.1191929280757904
1613068054.937879,14,-0.14439520239830017
1613068055.015968,15,-0.18545883893966675
1613068055.081194,16,-0.21335065364837646
1613068055.147316,17,-0.18663358688354492
1613068055.221367,18,-0.14177343249320984
1613068055.287727,19,-0.11983516067266464
1613068055.360573,20,-0.13647401332855225
1613068055.432981,21,-0.13549406826496124
1613068055.499152,22,-0.15958723425865173
1613068055.564225,23,-0.17653177678585052
1613068055.627282,24,-0.2260182946920395
1613068055.693139,25,-0.19458742439746857
1613068055.767748,26,-0.19942136108875275
1613068055.849841,27,-0.22706930339336395
1613068055.922316,28,-0.1841384470462799
1613068055.992925,29,-0.16501669585704803
1613068056.068553,30,-0.21433734893798828
1613068056.14369,31,-0.23467576503753662
1613068056.219809,32,-0.18085920810699463
1613068056.305369,33,-0.23214171826839447
1613068056.382239,34,-0.19982758164405823
1613068056.453804,35,-0.23057568073272705
1613068056.533954,36,-0.2332034856081009
1613068056.60527,37,-0.17326945066452026
1613068056.675496,38,-0.20311641693115234
1613068056.748982,39,-0.12019358575344086
1613068056.821881,40,-0.20989173650741577
1613068056.899325,41,-0.2123824506998062
1613068056.976788,42,-0.16706743836402893
1613068057.050023,43,-0.22539111971855164
1613068057.119968,44,-0.18014396727085114
1613068057.190202,45,-0.12036869674921036
1613068057.258532,46,-0.20560026168823242
1613068057.32683,47,-0.22244144976139069
1613068057.396493,48,-0.27279341220855713
1613068057.467918,49,-0.18900713324546814
1613068057.52665,50,-0.18551120162010193
1613068057.582833,51,-0.16405321657657623
1613068057.639035,52,-0.25774407386779785
1613068057.702295,53,-0.23884260654449463
1613068057.779425,54,-0.27257856726646423
1613068057.873461,55,-0.23432417213916779
1613068057.963485,56,-0.22977054119110107
1613068058.029893,57,-0.20213742554187775
1613068058.082719,58,-0.28160348534584045
1613068058.135351,59,-0.26823100447654724
1613068058.21756,60,-0.3016493320465088
1613068058.29209,61,-0.26366111636161804
1613068058.376467,62,-0.2558843493461609
1613068058.457258,63,-0.26774266362190247
1613068058.53322,64,-0.2575130760669708
1613068058.608905,65,-0.19967104494571686
1613068058.681313,66,-0.2668878734111786
1613068058.745351,67,-0.2917940616607666
1613068058.809535,68,-0.2469000220298767
1613068058.873403,69,-0.2334968000650406
1613068058.937767,70,-0.2383529543876648
1613068059.007326,71,-0.21404626965522766
1613068059.072752,72,-0.24377936124801636
1613068059.135507,73,-0.23886354267597198
1613068059.202116,74,-0.3161879777908325
1613068059.264881,75,-0.2752113938331604
1613068059.326366,76,-0.28683167695999146
1613068059.395829,77,-0.2504202127456665
1613068059.470898,78,-0.2411675900220871
1613068059.545917,79,-0.24418598413467407
1613068059.615976,80,-0.2882826626300812
1613068059.685344,81,-0.25090935826301575
1613068059.772162,82,-0.20476531982421875
1613068059.849174,83,-0.17310583591461182
1613068059.932009,84,-0.24665139615535736
1613068060.015867,85,-0.24356107413768768
1613068060.104915,86,-0.17786511778831482
1613068060.177626,87,-0.2626858949661255
1613068060.255591,88,-0.2687460482120514
1613068060.327509,89,-0.28834831714630127
1613068060.402555,90,-0.2420424520969391
1613068060.477144,91,-0.31942930817604065
1613068060.558031,92,-0.22832639515399933
1613068060.631545,93,-0.2777811288833618
1613068060.71047,94,-0.28277578949928284
1613068060.78802,95,-0.27815109491348267
1613068060.866017,96,-0.3308887481689453
1613068060.946912,97,-0.17790919542312622
1613068061.024953,98,-0.10818589478731155
1613068061.105615,99,-0.24667222797870636
