
b=2,alpha=1.618                             | FWD                 | BASEBREV            | PINGPONG            | PONGPING            | STRIDEB             | STRODEB             | GRAYFWD             | GRAYREV            
w     depth o_max o_min t_bal   t_min t_max | t         u         | t         u         | t         u         | t         u         | t         u         | t         u         | t         u         | t         u        
----- ----- ----- ----- ------- ----- ----- | --------- --------- | --------- --------- | --------- --------- | --------- --------- | --------- --------- | --------- --------- | --------- --------- | --------- ---------
  2     1     1     1    2.000    2     2   |   2.000     0.000   |   2.000     0.000   |   2.000     0.000   |   2.000     0.000   |   2.000     0.000   |   2.000     0.000   |   2.000     0.000   |   2.000     0.000  
  3     2     3     2    4.755    5     5   |   5.000     0.000   |   5.000     0.000   |   5.000     0.000   |   5.000     0.000   |   5.000     0.000   |   5.000     0.000   |   5.000     0.000   |   5.000     0.000  
  4     2     3     3    8.000    8     9   |   8.000     0.000   |   8.000     0.000   |   8.000     0.000   |   8.000     0.000   |   8.000     0.000   |   8.000     0.000   |   8.000     0.000   |   8.000     0.000  
  5     3     7     4   11.610   12    14   |  13.000     0.000   |  12.000     0.385   |  12.000     0.385   |  12.000     0.385   |  12.000     0.385   |  12.000     0.385   |  13.000     0.000   |  12.000     0.385  
  6     3     7     5   15.510   16    20   |  16.000     0.000   |  16.000     0.000   |  16.000     0.000   |  16.000     0.000   |  16.000     0.000   |  16.000     0.000   |  16.000     0.000   |  16.000     0.000  
  7     3     7     6   19.651   20    27   |  20.000     0.000   |  20.000     0.000   |  20.000     0.000   |  20.000     0.000   |  20.000     0.000   |  20.000     0.000   |  20.000     0.000   |  20.000     0.000  
  8     3     7     7   24.000   24    35   |  24.000     0.000   |  24.000     0.000   |  24.000     0.000   |  24.000     0.000   |  24.000     0.000   |  24.000     0.000   |  24.000     0.000   |  24.000     0.000  
  9     4    15     8   28.529   29    44   |  33.000     0.000   |  29.000     1.091   |  30.000     0.818   |  29.000     1.091   |  30.000     0.818   |  29.000     1.091   |  33.000     0.000   |  29.000     1.091  
